Hibernate type, Java type, SQL Type
integer,java.lang.Integer,INTEGER
long,java.lang.Long,BIGINT
short,java.lang.Short,SMALLINT
float,java.lang.Float,FLOAT
double,java.lang.Double,DOUBLE
big_decimal,java.math.BigDecimal,NUMERIC
decimal,java.math.BigDecimal,DECIMAL
character,java.lang.String,CHAR(1)
string,java.lang.String,VARCHAR
byte,java.lang.Byte,TINYINT
boolean,java.lang.Boolean,BIT
boolean,java.lang.Boolean,BOOLEAN
yes/no,java.lang.Boolean,CHAR(1) ('Y' or 'N')
true/false,java.lang.Boolean,CHAR(1) ('T' or 'F')
date,java.sql.Date,DATE
time,java.sql.Time,TIME
timestamp,java.sql.Timestamp,TIMESTAMP
